Splits ,Time,Cumulative Time,Moving Time,Distance,Avg Stroke Rate,Max Stroke Rate,Avg Distance per Stroke,Avg Pace,Avg Moving Pace,Best Pace,Avg HR,Max HR,Calories
1,04:52.9,04:52.9,03:57,500,23,27,1.39,04:53,03:57,03:12,88,123,30
2,03:37.0,08:29.9,03:29,500,16,18,10.72,03:37,03:29,01:53,101,115,27
3,03:41.8,12:00.0,03:11,500,25,29,2.14,03:42,03:11,01:56,108,114,23
4,01:55.6,14:07,01:55,500,24,38,10.89,01:56,01:55,01:35,116,145,15
5,03:49.9,17:57,03:21,500,32,44,8.31,03:50,03:21,01:27,122,140,34
6,07:43.7,01:41,02:22,500,21,36,10.5,07:44,02:22,01:41,112,142,51
7,05:32.9,07:14,04:08,500,34,45,7.06,05:33,04:08,01:23,107,159,30
8,01:42.7,08:56,01:39,500,33,45,8.9,01:43,01:39,01:29,166,174,25
9,01:45.0,34:41:00,01:42,500,32,39,8.88,01:45,01:42,01:30,154,167,24
10,02:15.2,36:57:00,02:04,500,25,43,9.35,02:15,02:04,01:30,131,138,21
11,08:21.3,45:18:00,05:19,500,24,41,7.47,08:22,05:19,01:58,121,140,55
12,02:15.1,47:33:00,02:14,500,20,24,11.04,02:15,02:14,01:51,128,139,19
13,25:00.0,59:58:00,05:31,500,21,31,7.72,12:25,05:31,01:58,116,143,68
14,02:03.7,1:02:02,01:58,500,36,43,8.31,02:04,01:58,01:29,141,178,20
15,01:44.0,1:03:46,01:33,500,34,43,8.27,01:44,01:33,01:34,174,180,27
16,02:49.2,1:06:35,02:42,500,20,44,10.02,02:49,02:42,01:44,141,175,30
17,05:59.4,1:12:34,03:53,500,20,30,10.08,05:59,03:53,01:50,120,131,31
18,13:00.0,1:23:48,03:08,500,21,38,10.2,11:13,03:08,01:49,118,134,56
19,03:57.9,1:27:46,02:52,500,38,46,7.04,03:58,02:52,01:25,127,184,26
20,02:46.7,1:30:32,02:39,500,29,44,7.9,02:47,02:39,01:27,159,189,38
21,02:14.5,01:32:47,11:00.0,500,20,26,10.71,02:15,02:11,01:52,115,126,9
22,02:10.9,01:34:58,02:01,347,23,38,8.13,03:08,02:54,01:48,102,121,7
Summary,34:58.0,01:34:58,01:05,"10,847",26,46,9.04,04:23,03:01,01:23,120,189,666
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
